address,name,symbol,current_mcap,liquidity,Authority,supply,holders,updateAuthority,twitter_solscan,telegram_solscan,image_solscan,website_solscan,owner_sol_balance,BURN STATUS,liquidityPool_tx,transferedSolanaToLp,transfered_tokens_to_lp,launch Market Capitalization
HCWYqn4uCQJFMNAYdXHYi6sPAkDUeYyouazzXe5rvLov,Cholo Cat,LOCO,14458,17.9105 SOL,False,1000000000.0,57,4WHNv6h6HJ6RhN256d4JVsA34y7qh7MTd7bqSnin7WMk,False,False,True,False,0.517068237,NO BURNT,4MmRbQQNVF3nw1U3cuhN6HEpWJ4yxT8F1vZAe5UgcWDLCFRCorxEDwravkV2vDNbymUoPTnhFRSZCbzkVAczXeQy,4.0,100.0%,729.52
4vf9FtkguGSXm7mExEVipfoc6hk5Qa4KFEB1x4a7vLBu,CATCORDION,CORDI,32343,42.03396 SOL,False,1000000000.0,53,5EUNvD1GtWBk6EFzLgcAVVkgB2JagTNS5MZxonypssPs,True,True,True,True,1.724739565,NO BURNT,C72c8xTxMXjF3QnfJKCMD6odmyKeeNTkbYZ2KJ6gmNAaLCgatzkH8aEdAmqet4JSF2THVwV42qCGMoHmjxWHXf4,10.0,100.0%,1842.1000000000001
F4zDoVHVcDmMfdcnZTtwFh6da5Ds66s2PPTvxicbkT5m,Trump's Cat,VAGINA,24251,16.0449 SOL,False,1000000000.0,48,GkVS2JchRfGG28D3FARHtSA2hS1AxpUiUJSVQFuXDHsk,True,False,True,False,42.1823826,NO BURNT,49pwbymaNyHNFXfWSVU8F7z8WikjMBtuaNJRx9gkiWiDSu6PQ2af79beuf8vJDay2PjTkBLdvztk7ucT6NRKV2jU,5.0,100.0%,924.0999999999999
DUruQKfQMdNh7Uk3X3Ax6Yh9xhHKkdjFCW1YrtQiFePK,Trump's cat,VAGINA,13799,19.3859 SOL,False,1000000000.0,53,GoyZ7NcoLUJAzQ7q2BJWsXXi55SnUPAbsfPfvXHX2RLL,True,False,True,True,30.3323826,NO BURNT,3iQaNeerMyz5AG2X2YpPXpKF9P9eAk7i1uyjjABs4uq5baoRVfr3Y1ubtAP7HpbQeHo4HYsiHRNdkY4fgHuh7Pa9,5.0,100.0%,923.4000000000001
nWnPiYQhduAXQjeBEhpEawDP7JymVzQcTbJA8z89y51,VeloxAI,VELOX,8493,19.1791 SOL,False,1000000.0,68,FAmxa9krubBZKs2shs3WcnrnB9qwUUfduPA5xLZfjZJ5,True,True,True,True,3.462825199,NO BURNT,2W8VurvoMh2gC2hcrhHfjtTjXBNdP6Bd8BiowhwptVoyb69wg2rYKuTLb1LQV9ddUkU6dw7yd2A1ZYNnTYp1zxQ8,10.0,80.0%,2307.375
5tHQGfmr8UyjUYX2teqsngXKmSqepwN1roDb9daczf4q,SolSwap,SWAP,20940,23.8763 SOL,False,10000000.0,109,DUUVyFVYPLpfeaH9P6i7R6SCcn5bNtRYx7cHyMxvNrf7,True,True,True,True,4.505313457,NO BURNT,3QoM6AydWDr44RjLHwLsqZHYvHdSHKREaNG6qcTEmhTwwUts7qhXbGjteBWzihci6EbQCvZSrwSjpDBSZcy8uesv,5.0,100.0%,922.4
5CLAL9ZByVeQJNMCMqShQxiEn2khAkb8JJfsCNuZ5SeM,Gary Gensler,GENSLER,9250,16.2557 SOL,False,1000000000.0,52,Dx4qKmsATdF7sRDwnRdyfWZdnfkFUoiwuZUa1rjVwg6F,False,False,True,False,28.5223826,NO BURNT,2Zq5c926YQ5wz59C453Ajt6vfTzPtjiz91hRaB3UU14adZqwXohBU3jDL2Bf2Ut5gzeHR1dbQmoP9Yvr8ZPeGVd6,5.0,100.0%,921.35
ByYHJqdNjLeK7i7fjcxFhkwuRdNWU1BbedkiZh9MmMCU,Sniper Cat,SNAT,13921,19.4324 SOL,False,1000000.0,78,6EoNWbkxLYYhBAfTVvgj3sUL2azM73wZZkZzKWWMX2n3,True,True,True,True,5.078076185,NO BURNT,Hf1AZJEkiGFzCQ9kxUweNJ49Tngukm6AVVFwuKhFgmRng4tYQ7ZeSmHvf43tZytYd6okBKd7TuqQ3gFqBf9Aa21,5.0,100.0%,921.5
4eM2oT2oUwXCN62rstwVhfHLCAP86PkuTRALEXQZk9f7,EKNOP,EKNOP,38938,46.05165 SOL,False,1000000.0,150,7xw65JFwAvVWLRKhMoayMMvsfjDZiDUeT5KWXHc1hCc5,True,True,True,True,1.543306905,NO BURNT,2gHC4zHBx215PXMDKe6auNRqoDjbLPKw72162tgSZhqW8NRqyJBqcdvdVibj22fWFi9ZXyM6SQnD2ZDLPZTiLkvs,10.0,100.0%,1847.7
BmQejCJa8woHKYkM8juCxrwfHcjXkdLxVuXEjW8keSXr,Larry Fink,Blackcock,8374,15.04503 SOL,False,1000000000.0,48,HRqWDvfVPiKydM4gp9jyK8DMysMZigCw5FnbzKSXPWcc,True,False,True,False,48.3423826,NO BURNT,3PU7kcL3GTJbMMSPGY4spK62HQXdTSbQvH9rfwnvXLP3XhjSZGKztWExGmjxvmirZ82gCvfRwqUbQ17panUe2gsU,5.0,100.0%,924.95
J36c8wfkrgCLYyMJiWYE4uGQL7fGMUf29WTgqXZKu4jU,Top Cat,TCAT,9336,15.9159 SOL,False,1000000000.0,43,CQ1CKudknCEgpRPa3sPTEwTNAwATPsFoCEQ2DoooYMpA,True,True,True,True,21.435602371,NO BURNT,BJnxYpyg1WvsErtigMpUXekqrFtqYkVdWyQN9tTa3cwnhe7inSBjDNnsAJichRJwvB1PqNrboGn7opDoKgbAEbW,5.0,100.0%,922.75
FAVvhhcpevPZcZVgkztj1qHF47yu12YQFE7GStBV4U6w,Crypto Punks CTO,PUNKS,25515,28.6529 SOL,False,1000000000.0,160,7gT2LYoJJXAtoWjctaCb8F2AMeGjfXnHyhdwhfW5Zyyf,True,True,True,True,0.139864347,NO BURNT,nHPm2xKhivaV7CEdQdD41CorSVVLJ6dovpjThTu9f1qW2hiVD9jHQ8mjow5gtY7zNFUEvmmh6nA237s7s6kt56B,7.0,84.7700942%,1525.5144071787524
CrdLVTcRL6m1NzXDncoLAQcXYbSfAaY8LF5JocfRRdje,StudentCat,StudentCat,8378,15.04057 SOL,False,1000000000.0,94,Ef37LdSdgRN4rfQmkYehnBAZUY9wt2BivSXVM2AzuX7w,True,True,True,True,0.58096979,LIQUIDITY BURNT,3VQyVrk1h2dJLtHHRBTgG9xz3Jcfxv6ucsiyJUD87dSWzJNL8o4BBwDUSY9RaAeEsffnTWMg6fzts9aNDwXUeR58,5.0,100.0%,923.6
8djK5TWZ34Ysh2fiJboLRZsjwVrUgoVobhRQDgv5dfZ7,MEOWTH,MEOWTH,16912,21.4307 SOL,False,100000000.0,87,5yidBHVfgXzK9ysXh2y2uZ7Ae7r4o4qRjGpjryshNz2s,True,True,True,True,6.0897298,NO BURNT,3HSTbkStPV654ocnWcGeoE7i7ZSq3H7eWK5qhWap6o8fZfN7dFyxGhmkCf7HoMCspQSiTBu5sZy8VZUbTeirR2Ac,5.0,100.0%,923.4000000000002
6Tts8yyr6RWbzCiKPBVdYjvCxdL9YkbGVcRy15bj6cqX,mPEPE,mPEPE,13948,38.2141 SOL,False,1000000000.0,123,G7E2mAF36BWPQwDN3roPeA1AnPaRzEy21XM4V5jmX6z3,False,False,True,False,74.486096223,NO BURNT,3j3vRjGG6JxZNgKHhyK8FUDjFthY5SXegQTr1RyUESwM2o7cj1NmcvnhwTupxqmvd6CuXY7Z4m75iH4HBQUxxsL3,20.0,100.0%,3704.8
7EHWKNB6LeJjexiZMm4cErvpmKGpQNmwYrUBkR89NeP4,War Cat,WARCAT,17750,30.3047 SOL,False,1000000000.0,63,GgJmGUYxHQV1ZyDnPHEwHKbYxxVgh65gw1ymckYshuNR,True,True,True,True,3.480349754,NO BURNT,2KRsr8haCs9CUqtn5CxMmtow9WUuiYJ4QtTta7irgwQCA9ap5omhiVEJf1LqhCkezBe5vDnetFDuHXUueL87qkVg,10.8,95.0%,2110.0926315789475
8afje27UsQVVYgaRD2f28oEcnPAhXC8iueB5T2PKYUG,Ansem hat,WBS,15395,18.2267 SOL,False,100000000.0,68,6bybgfnEVvPP8Vm6a741VKWSd2H4ux7VVCZimzLoPJ7o,False,False,True,False,0.507057997,NO BURNT,2cA5tFq4ypJeyAf6cRjAMxSRs5ZDaK3rhKqayNzSGP3ZesLUjw5oF6zUgxAq6HhxwFmYTL9XjWZxRE9m8gegowsc,4.0,100.0%,742.56
GnRWFEcsC1WGSnui9syKwmWj9nEw6vfUkuxsFL91CZvH,Trump Cat,TRUMPCAT,6337,19.5444 SOL,False,500000000.0,96,74R2UyvWXUP1NNTy3EZouS14SV8xsDSoiBMwwBNH95Hi,True,True,True,True,1.28070839,NO BURNT,2EMFAFgFYBX9rsF9GXgkVe178y4UCKmhgf4gatYvk19zQi7mFzq532wNf44GQmBh13YdM41hB8cxadYmLgGSJkmg,11.0,95.0%,2153.9157894736845
Ep8Mm5e4P2LTDAPDBnTetk5RQQ8QVEasQwo3Jwus9nZT,TRUMPCAT,TRUMPCAT,8376,15.02643 SOL,False,1000000000.0,48,93XQcfMX4VwdmoyoLvr46u6HtfZUZDLPjW7eE4UGLcns,False,False,True,False,1.2093326,NO BURNT,8k6NeAJiHXR13pem9Ce8BmuB5n8HtY5R1vs3LDVUeKc6im4sQFKnN5ZyFErtSiSmYcmsH5MJSkEvBKLR9bHpXw4,5.0,100.0%,927.3000000000001
GT76rHtgYf6UxVWmHyugF4mYccB7vBuEqP2n3ECh7Y94,Donald Pump,MAGAPUMP,23267,27.4491 SOL,False,10000000.0,142,6zZ2AR9r7rWhLXoFmzryVtCgnxq8BqE4ZYWVwKWkBL2M,True,True,True,True,8.803962517,LIQUIDITY BURNT,3XpUKY6dj9gM1dAGzE4Zm5MAJ6K8hgnv8gWwDnuMBuUsYhjUP9pcPM4GU153R34LNkRYDgAobSQrmy2QZg8RrDEU,6.0,100.0%,1114.1999999999998
Fy4GrCkfU6VMmoFMfF92TRhpTunBc2AHX2A1sG7RBRvr,ChinaNumbaOne,$CCP,7977,14.7005 SOL,False,1000000000.0,44,GxU7eDNMSENGorWJWBjfgih3hHJAMHcggKcR48duUBA4,False,False,True,False,19.2093876,NO BURNT,2rHrfgcDTekJFgQ8mHAL6UE4xHWycRdSZuiiWPcCRoxX12vpd4r1z8fRN7MBNyMvuPKtwq2S4qnsa6H7YceWNfYm,5.0,100.0%,932.6
4JRenbx2axm6qNVBCgjYpTodmJHqxMX4V9yjj3nuAtMK,FELIX GOT DRIP,FELIX,41829,28.4354 SOL,False,123000000.0,49,9Z44eek6RfZdtKGsUDKXWwqWLBWkexmZUzaeAZHWxqaa,True,True,True,True,40.015297315,NO BURNT,5BVBwo4WdqDpq8t6MF5aG5wBgXEYeMFb4JyKPArpGoRcsaeJquNUUANEnhbbJhbzgkTi3RXL1HWVuZcFzpRR7BgV,4.0,90.0%,829.0666666666666
Ak4Xa3i9HAZVikzwm1ne9tfu4FddTJPBFEXCZ2YAKcKq,NERD BOI,NERDBOI,12437,27.5102 SOL,False,1000000000.0,41,2vCa1cNZ4mXWzqrogdq1ad6eFrA39G5Nd7HVj539T2UX,True,True,True,True,3.493524814,NO BURNT,51tBUQVWmFFKqwHjaZztyzkrh2MBqd3KW5q695sMYxn6BCEyRgLZ1XZmvfJuB8nMwcXEvSmWKLizAySTjwPGt3Ro,10.8,95.0%,2119.5284210526315
9Gx1LMmEBCq6MYyXQB9zDqJxCy3u6CWP4BorYUaH5tX4,BACON CAT,BACONCAT,8196,18.348 SOL,False,1000000000.0,48,DdBzVQvGwuTk6yfM9zzAbrrYtPFEb6cCX536BHbSVcyh,False,False,True,False,1.797229968,NO BURNT,59qWHAAnEPRuWNDDQ114maQgUuNL4qdob63C1SmKKwyzVxmLK4EKxpmMXrKH5fWnEhUUZMTMqSdS58u3NfuhqkR7,8.5,90.0%,1758.1777777777777
HxzQduGoGxYNXb8gRA1YPUQYuxpNQr8muDXF1eKuLLR8,Indian Elon,ELON,7646,12.8416 SOL,False,10000000.0,100,ASMuK7ZcAGP5jeETcc9fT7jaG2bQWijUS4LHn9pcUQPd,True,True,True,True,16.45197479,NO BURNT,4frUMtoELh1VKu3LRkegwnudecDibQYxbirgjnhnVhVuTkRV2kppM6G5C7jDCmsPABcr1Qxx7NSZLf3qJCGtHg1u,4.0,100.0%,740.3600000000001
2MXyyWDjQLhUw4rdoayifSYTpHkgEuRQ9oRF3Wp88hGV,MeowsterCard,MEOWCARD,10747,18.3745 SOL,False,10000000.0,59,3fSRntL4zD7818CpjH7Q8Di2scVGyGjmfHFWz9SKbHDp,True,True,True,True,9.814157325,NO BURNT,33CR86UXgvNmRkxtaE4ZAGdn8j4PgwVsBhzTQeiH729eGxEq2Ek1N3ZJxvat9qFKb4kHsUKE67pSrx6BgzddTyjH,6.0,100.0%,1106.6999999999998
EEgbtg9gvVvNyFLDwpdXDCmNBCcUgxnTrjuYTr5rnS4r,Ku Klux Kitty,KEKEKITTY,23578,27.6616 SOL,False,10000000.0,152,4rxrVFoYLk1JoEdVRr8iQxEwu5rWxWNjH2M3HshZezGy,True,True,True,True,5.288873899,NO BURNT,4GrVYz8mccnrpThtR66pWg1V2tgM9BKf4QzynwjC7MSo2Cxtq4VwYAwAtE6gM8VqYjkuypwNZaLkrvhCncKaAf4E,6.0,100.0%,1111.1399999999999
A9BL7LL7UYaiHaBd93DCXhobnZvHE1oWJzmPMVytRqzz,KIFFY,KIFFY,11818,19.7091 SOL,False,1000000000.0,46,8qdD21rMphqSSC7rGinBSwU6vidK7GUEusp5tSsHrRpX,True,True,True,True,17.556388919,NO BURNT,5UQCkQjSZgYFAp4MRbk7cmvvJ49ZdM7NCeG1kYvS2C9e26m571kxbHzGjK2HkrXUGwctqqesDUDCwHDxnYe3yHRJ,6.5,95.0%,1276.6
